"Year","Area","Street","Street 2","Strange HTML"
2011,"Birmingham","Collegeroadkingstandingbham","Collegeroadkingstandingbham",NA
2011,"Birmingham","Collegeroadkingstandingbham","Collegeroadkingstandingbham",NA
2011,"Birmingham","Copshillcourtmountviewsuttoncoldfield","Copshillcourtmountviewsuttoncoldfield",NA
2011,"Birmingham","Dovedaleroaderdingtonbham","Dovedaleroaderdingtonbham",NA
2011,"Birmingham","Downsideroaderdingtonbham","Downsideroaderdingtonbham",NA
2011,"Birmingham","Eachelhurtroaderdington","Eachelhurtroaderdington",NA
2011,"Birmingham","Erdingtonhallroad","Erdingtonhallroad",NA
2011,"Birmingham","Erdingtonhallroad","Erdingtonhallroad",NA
2011,"Birmingham","Erdingtonhighstr.","Erdingtonhighstr.",NA
2011,"Birmingham","Fenthamroaderdingtonbham","Fenthamroaderdingtonbham",NA
2011,"Birmingham","Finchleyroad","Finchleyroad",NA
2011,"Birmingham","Finchleyroadkingstandingbham","Finchleyroadkingstandingbham",NA
2011,"Birmingham","Georgefrederickroad","Georgefrederickroad",NA
2011,"Birmingham","Goldenpondtakeawayboldmereroad","Goldenpondtakeawayboldmereroad",NA
2011,"Birmingham","Goodhopehospital","Goodhopehospital",NA
2011,"Birmingham","Gracechurchcentre","Gracechurchcentre",NA
2011,"Birmingham","Gracechurchcentreoutsidesupercigs","Gracechurchcentreoutsidesupercigs",NA
2011,"Birmingham","Gracechurchshoppingcentresuttoncoldfield","Gracechurchshoppingcentresuttoncoldfield",NA
2011,"Birmingham","Grassedareapypehayespark","Grassedareapypehayespark",NA
2011,"Birmingham","Gravelleylane","Gravelleylane",NA
2011,"Birmingham","Gravelleylane","Gravelleylane",NA
2011,"Birmingham","Gravelleylane","Gravelleylane",NA
2011,"Birmingham","Gravellylaneerdingtonbirmingham","Gravellylaneerdingtonbirmingham",NA
2011,"Birmingham","Hairylemonpubsuttoncoldfield","Hairylemonpubsuttoncoldfield",NA
2011,"Birmingham","Hairylemonpubsuttoncoldfield","Hairylemonpubsuttoncoldfield",NA
2011,"Birmingham","Hermatigeroad","Hermatigeroad",NA
2011,"Birmingham","Hermatigeroad","Hermatigeroad",NA
2011,"Birmingham","Hermitagedrive","Hermitagedrive",NA
2011,"Birmingham","Highstr.","Highstr.",NA
2011,"Birmingham","Highstr.erdington","Highstr.erdington",NA
2011,"Birmingham","Highstr.erdington","Highstr.erdington",NA
2011,"Birmingham","Highstr.erdington","Highstr.erdington",NA
2011,"Birmingham","Highstr.sc","Highstr.sc",NA
2011,"Birmingham","Highstr.sc","Highstr.sc",NA
2011,"Birmingham","Hightsterdington","Hightsterdington",NA
2011,"Birmingham","Huntonhill","Huntonhill",NA
2011,"Birmingham","Kfcretailoutleterdingtonhighstr.","Kfcretailoutleterdingtonhighstr.",NA
2011,"Birmingham","Kingsburyroaderdingtonbham","Kingsburyroaderdingtonbham",NA
2011,"Birmingham","Kingstandingcircle","Kingstandingcircle",NA
2011,"Birmingham","Ladywellwalkbirmingham","Ladywellwalkbirmingham",NA
2011,"Birmingham","Landsdownroad","Landsdownroad",NA
2011,"Birmingham","Lichfieldroadmeregreen","Lichfieldroadmeregreen",NA
2011,"Birmingham","Lichfieldroadsuttoncoldfield","Lichfieldroadsuttoncoldfield",NA
2011,"Birmingham","Lindridgeroadsuttoncoldfield","Lindridgeroadsuttoncoldfield",NA
2011,"Birmingham","Littleastonlane","Littleastonlane",NA
2011,"Birmingham","Longfordroad","Longfordroad",NA
2011,"Birmingham","Longfordroadkingstandingbham","Longfordroadkingstandingbham",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparadesc","Lowerparadesc",NA
2011,"Birmingham","Lowerparadesutton","Lowerparadesutton",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparade","Lowerparade",NA
2011,"Birmingham","Lowerparadesutoncoldfield","Lowerparadesutoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lowerparadesuttoncoldfieldtowncentre","Lowerparadesuttoncoldfieldtowncentre",NA
2011,"Birmingham","Lowerparadesuttoncoldfieldtowncentre","Lowerparadesuttoncoldfieldtowncentre",NA
2011,"Birmingham","Lowerparadesuttoncoldfield","Lowerparadesuttoncoldfield",NA
2011,"Birmingham","Lydhamclose","Lydhamclose",NA
2011,"Birmingham","Millstr.","Millstr.",NA
2011,"Birmingham","Millstr.suttoncoldfield","Millstr.suttoncoldfield",NA
2011,"Birmingham","Moorhallhotel","Moorhallhotel",NA
2011,"Birmingham","Mulberrycourtcarparkkingsroadkingstandingbirmingham","Mulberrycourtcarparkkingsroadkingstandingbirmingham",NA
2011,"Birmingham","Newhallwalkcarpark","Newhallwalkcarpark",NA
2011,"Birmingham","Newhallwalkcarpark","Newhallwalkcarpark",NA
2011,"Birmingham","Osha","Osha",NA
2011,"Birmingham","Oslittentree","Oslittentree",NA
2011,"Birmingham","Oslittentreesctowncentre","Oslittentreesctowncentre",NA
2011,"Birmingham","Osmoomoobarsctowncentre","Osmoomoobarsctowncentre",NA
2011,"Birmingham","Osmoomoobarsouthparade","Osmoomoobarsouthparade",NA
2011,"Birmingham","Osretro","Osretro",NA
2011,"Birmingham","Osretrosouthparade","Osretrosouthparade",NA
2011,"Birmingham","Osretros","Osretros",NA
2011,"Birmingham","Osroyalhotellichfieldroad","Osroyalhotellichfieldroad",NA
2011,"Birmingham","Ostemplebar","Ostemplebar",NA
2011,"Birmingham","Ostemplebar","Ostemplebar",NA
2011,"Birmingham","Ostemplebarhighstr.","Ostemplebarhighstr.",NA
2011,"Birmingham","Ostemplebarlowerparadesuttoncoldfield","Ostemplebarlowerparadesuttoncoldfield",NA
2011,"Birmingham","Ostemplebarsctowncentre","Ostemplebarsctowncentre",NA
2011,"Birmingham","Ostemplebarsuttoncoldfieldwestmilands","Ostemplebarsuttoncoldfieldwestmilands",NA
2011,"Birmingham","Osthehairylemon","Osthehairylemon",NA
2011,"Birmingham","Onpavementoutsidetheroyalhotel","Onpavementoutsidetheroyalhotel",NA
2011,"Birmingham","Ourtsideroyalpublichfieldroadsuttoncoldfield","Ourtsideroyalpublichfieldroadsuttoncoldfield",NA
2011,"Birmingham","Outsideglendaletowerlyndhurstestate","Outsideglendaletowerlyndhurstestate",NA
2011,"Birmingham","Outsidelittentreepubbirminghamroadsuttoncoldfield","Outsidelittentreepubbirminghamroadsuttoncoldfield",NA
2011,"Birmingham","Outsidemoomooclubtowncentresuttoncoldfield","Outsidemoomooclubtowncentresuttoncoldfield",NA
2011,"Birmingham","Outsidemoomoonightclubsouthparade","Outsidemoomoonightclubsouthparade",NA
2011,"Birmingham","Outsidetempleparadelowerparade","Outsidetempleparadelowerparade",NA
2011,"Birmingham","Outsidethetemplebarlowerparadesc","Outsidethetemplebarlowerparadesc",NA
