"Year","Area","Street","Street 2","Strange HTML"
2011,"Birmingham","Acocksgreen","Acocksgreen","One &amp; Two"
2011,"Birmingham","Adderlystr.","Adderlystr.","Some &ndash; ndash"
2011,"Birmingham","Alcesterraodmosley","Alcesterraodmosley","&euro;300"
2011,"Birmingham","Alcesterroad","Alcesterroad","alcester&nbsp;road"
2011,"Birmingham","Alcesterroadmoseley","Alcesterroadmoseley","&quot;That silly man&quot;"
2011,"Birmingham","Alcesterroadmoseley","Alcesterroadmoseley","&lt;html&gt;"
2011,"Birmingham","Alfredstr.","Alfredstr.","One &amp; Two"
2011,"Birmingham","Allserviceclubmosley","Allserviceclubmosley","Some &ndash; ndash"
2011,"Birmingham","Alumrockroad","Alumrockroad","&euro;300"
2011,"Birmingham","Alumrockroad","Alumrockroad","alcester&nbsp;road"
2011,"Birmingham","Alumrockroad","Alumrockroad","&quot;That silly man&quot;"
2011,"Birmingham","Alumrockroad","Alumrockroad","&lt;html&gt;"
2011,"Birmingham","Arcadiancentre","Arcadiancentre","One &amp; Two"
2011,"Birmingham","Ardenroadsaltley","Ardenroadsaltley","Some &ndash; ndash"
2011,"Birmingham","Asdachemsleywood","Asdachemsleywood","&euro;300"
2011,"Birmingham","Balsahllheathparkjwbrightonroad","Balsahllheathparkjwbrightonroad","alcester&nbsp;road"
2011,"Birmingham","Bamfordroad","Bamfordroad","&quot;That silly man&quot;"
2011,"Birmingham","Bamfordroad","Bamfordroad","&lt;html&gt;"
2011,"Birmingham","Beechbrookave.sparkhill","Beechbrookave.sparkhill","One &amp; Two"
2011,"Birmingham","Belcherslane","Belcherslane","Some &ndash; ndash"
2011,"Birmingham","Belcherslane","Belcherslane","&euro;300"
2011,"Birmingham","Belcherslane","Belcherslane","alcester&nbsp;road"
2011,"Birmingham","Belcherslanebordesleygreen","Belcherslanebordesleygreen","&quot;That silly man&quot;"
2011,"Birmingham","Bellstr.","Bellstr.","&lt;html&gt;"
2011,"Birmingham","Berkleyrdeasthaymills","Berkleyrdeasthaymills","One &amp; Two"
2011,"Birmingham","Birminghamairport","Birminghamairport","Some &ndash; ndash"
2011,"Birmingham","Birminghaminternationalrailwaystation","Birminghaminternationalrailwaystation","&euro;300"
2011,"Birmingham","Bordesleygreen","Bordesleygreen","alcester&nbsp;road"
2011,"Birmingham","Bordesleygreenbordesleygreen","Bordesleygreenbordesleygreen","&quot;That silly man&quot;"
2011,"Birmingham","Bristolroad","Bristolroad","&lt;html&gt;"
2011,"Birmingham","Bristolstr.","Bristolstr.","One &amp; Two"
2011,"Birmingham","Broadstr.","Broadstr.","Some &ndash; ndash"
2011,"Birmingham","Broadstr.","Broadstr.","&euro;300"
2011,"Birmingham","Broadstr.birmingham","Broadstr.birmingham","alcester&nbsp;road"
2011,"Birmingham","Bucklandendlaneshardend","Bucklandendlaneshardend","&quot;That silly man&quot;"
2011,"Birmingham","Bullsheadphstmarysrow","Bullsheadphstmarysrow","&lt;html&gt;"
2011,"Birmingham","Bushburyroadkittsgreen","Bushburyroadkittsgreen",NA
2011,"Birmingham","Charticeroad","Charticeroad",NA
2011,"Birmingham","Chestnutroad","Chestnutroad",NA
2011,"Birmingham","Churchrdstechford","Churchrdstechford",NA
2011,"Birmingham","Churchroadsheldon","Churchroadsheldon",NA
2011,"Birmingham","Cliffordrddorridge","Cliffordrddorridge",NA
2011,"Birmingham","Clocklane","Clocklane",NA
2011,"Birmingham","Colonialroadbordesleygreen","Colonialroadbordesleygreen",NA
2011,"Birmingham","Corporationstbirmingham","Corporationstbirmingham",NA
2011,"Birmingham","Corporationstr.","Corporationstr.",NA
2011,"Birmingham","Coventryrdsmallheath","Coventryrdsmallheath",NA
2011,"Birmingham","Coventryrdsmallheathbham","Coventryrdsmallheathbham",NA
2011,"Birmingham","Coventryroad","Coventryroad",NA
2011,"Birmingham","Coventryroad","Coventryroad",NA
2011,"Birmingham","Coventryroad","Coventryroad",NA
2011,"Birmingham","Coventryroad","Coventryroad",NA
2011,"Birmingham","Coventryroad","Coventryroad",NA
2011,"Birmingham","Coventryroadsmallheath","Coventryroadsmallheath",NA
2011,"Birmingham","Coventryroadsmallheath","Coventryroadsmallheath",NA
2011,"Birmingham","Coventryroadsmallheath","Coventryroadsmallheath",NA
2011,"Birmingham","Cranesparkroad","Cranesparkroad",NA
2011,"Birmingham","Cranesparkroadsheldon","Cranesparkroadsheldon",NA
2011,"Birmingham","Crossfieldroad","Crossfieldroad",NA
2011,"Birmingham","Crossfieldsroadkittsgreen","Crossfieldsroadkittsgreen",NA
2011,"Birmingham","Cxhurchrdstechfordbham","Cxhurchrdstechfordbham",NA
2011,"Birmingham","Digbethhighstr.","Digbethhighstr.",NA
2011,"Birmingham","Edgbastonroad","Edgbastonroad",NA
2011,"Birmingham","Edwardroadmoseley","Edwardroadmoseley",NA
2011,"Birmingham","Fightingcoxph","Fightingcoxph",NA
2011,"Birmingham","Foremansroadsparkhill","Foremansroadsparkhill",NA
2011,"Birmingham","Frontofficekingsheath","Frontofficekingsheath",NA
2011,"Birmingham","Garrettsgreenroadgarrettsgreen","Garrettsgreenroadgarrettsgreen",NA
2011,"Birmingham","Gilesclose","Gilesclose",NA
2011,"Birmingham","Gilesclosestechford","Gilesclosestechford",NA
2011,"Birmingham","Glazedaleroad","Glazedaleroad",NA
2011,"Birmingham","Gospelfarmroad","Gospelfarmroad",NA
2011,"Birmingham","Gospelfarmroad","Gospelfarmroad",NA
2011,"Birmingham","Gospellane","Gospellane",NA
2011,"Birmingham","Gospellane","Gospellane",NA
2011,"Birmingham","Gospellane","Gospellane",NA
2011,"Birmingham","Gospellaneacocksgreen","Gospellaneacocksgreen",NA
2011,"Birmingham","Gracechurchsuttoncoldfield","Gracechurchsuttoncoldfield",NA
2011,"Birmingham","Greathamptonstr.","Greathamptonstr.",NA
2011,"Birmingham","Greenlane","Greenlane",NA
2011,"Birmingham","Greswelllaneshardend","Greswelllaneshardend",NA
2011,"Birmingham","Harlequindrivemosley","Harlequindrivemosley",NA
2011,"Birmingham","Haslucksgreenroad","Haslucksgreenroad",NA
2011,"Birmingham","Hazeldeanroad","Hazeldeanroad",NA
2011,"Birmingham","Heartlandshospital","Heartlandshospital",NA
2011,"Birmingham","Heartlandshospital","Heartlandshospital",NA
2011,"Birmingham","Heartlandshospitalae","Heartlandshospitalae",NA
2011,"Birmingham","Heartlandshospitalae","Heartlandshospitalae",NA
2011,"Birmingham","Heartlandshospitalae","Heartlandshospitalae",NA
2011,"Birmingham","Hepbengrove","Hepbengrove",NA
2011,"Birmingham","Herrickroad","Herrickroad",NA
2011,"Birmingham","Herrickroadwashwoodheath","Herrickroadwashwoodheath",NA
2011,"Birmingham","Herrickroadwashwoodheath","Herrickroadwashwoodheath",NA
2011,"Birmingham","Highstsolihull","Highstsolihull",NA
2011,"Birmingham","Highstr.kingsheath","Highstr.kingsheath",NA
2011,"Birmingham","Highstr.kingsheath","Highstr.kingsheath",NA
2011,"Birmingham","Highstr.kingsheath","Highstr.kingsheath",NA
2011,"Birmingham","Hobmoorroadatstarbankroad","Hobmoorroadatstarbankroad",NA
2011,"Birmingham","Hollowayheadbhamcitycentre","Hollowayheadbhamcitycentre",NA
2011,"Birmingham","Hollywellroad","Hollywellroad",NA
2011,"Birmingham","Homeaddress","Homeaddress",NA
2011,"Birmingham","Homeaddress","Homeaddress",NA
2011,"Birmingham","Homerstr.","Homerstr.",NA
2011,"Birmingham","Huntersmoonpublichouse","Huntersmoonpublichouse",NA
2011,"Birmingham","Hurststr.","Hurststr.",NA
2011,"Birmingham","Hurststr.","Hurststr.",NA
2011,"Birmingham","Hurststr.","Hurststr.",NA
2011,"Birmingham","Hurststr.birmingham","Hurststr.birmingham",NA
2011,"Birmingham","Kingsheathhighstr.","Kingsheathhighstr.",NA
2011,"Birmingham","Knowlerdsmallheathbham","Knowlerdsmallheathbham",NA
2011,"Birmingham","Ladypoolroad","Ladypoolroad",NA
2011,"Birmingham","Ladypoolroad","Ladypoolroad",NA
2011,"Birmingham","Ladywellwalk","Ladywellwalk",NA
2011,"Birmingham","Leahallrd","Leahallrd",NA
2011,"Birmingham","Leahallrd","Leahallrd",NA
2011,"Birmingham","Leavillagestechford","Leavillagestechford",NA
2011,"Birmingham","Lenchesclosemosley","Lenchesclosemosley",NA
2011,"Birmingham","Limetreeroad","Limetreeroad",NA
2011,"Birmingham","Lodelanehermitageroad","Lodelanehermitageroad",NA
2011,"Birmingham","Longstr.","Longstr.",NA
2011,"Birmingham","Longstr.sparkhill","Longstr.sparkhill",NA
2011,"Birmingham","Longbridgelane","Longbridgelane",NA
2011,"Birmingham","Longmeadowcrescentshardendbham","Longmeadowcrescentshardendbham",NA
2011,"Birmingham","Maccadownlane","Maccadownlane",NA
2011,"Birmingham","Masshouselane","Masshouselane",NA
2011,"Birmingham","Meadwaymstechford","Meadwaymstechford",NA
2011,"Birmingham","Mickleoverroadbromford","Mickleoverroadbromford",NA
2011,"Birmingham","Moorcroftroad","Moorcroftroad",NA
2011,"Birmingham","Moseleyroad","Moseleyroad",NA
2011,"Birmingham","Moseleyroad","Moseleyroad",NA
2011,"Birmingham","Moseleyroad","Moseleyroad",NA
2011,"Birmingham","Moseleyroad","Moseleyroad",NA
2011,"Birmingham","Moseleyvillage","Moseleyvillage",NA
2011,"Birmingham","Moseleyvillage","Moseleyvillage",NA
2011,"Birmingham","Moseleyvillagealcesterroad","Moseleyvillagealcesterroad",NA
2011,"Birmingham","Mosleyallservicesclubchurchroadmoseley","Mosleyallservicesclubchurchroadmoseley",NA
2011,"Birmingham","Nearlandsclosequinton","Nearlandsclosequinton",NA
2011,"Birmingham","Newstr.","Newstr.",NA
2011,"Birmingham","Northfieldhighstr.","Northfieldhighstr.",NA
2011,"Birmingham","Osbehanshighfieldroadbillesley","Osbehanshighfieldroadbillesley",NA
2011,"Birmingham","Osthejunctionmosleyvillage","Osthejunctionmosleyvillage",NA
2011,"Birmingham","Oswashwoodheathroad","Oswashwoodheathroad",NA
2011,"Birmingham","Oakhillroadacocksgreen","Oakhillroadacocksgreen",NA
2011,"Birmingham","Oppwhitehartlanecookslane","Oppwhitehartlanecookslane",NA
2011,"Birmingham","Oppositealdistratfordroad","Oppositealdistratfordroad",NA
2011,"Birmingham","Outsidejavaloungealcesterroad","Outsidejavaloungealcesterroad",NA
2011,"Birmingham","Outsideo2academynightclubbhamcitycentre","Outsideo2academynightclubbhamcitycentre",NA
2011,"Birmingham","Outsideravenpublichouse","Outsideravenpublichouse",NA
2011,"Birmingham","Packingtonave.shardend","Packingtonave.shardend",NA
2011,"Birmingham","Parkoffhobmoorroad","Parkoffhobmoorroad",NA
2011,"Birmingham","Parkhallcroft","Parkhallcroft",NA
2011,"Birmingham","Peartreeph","Peartreeph",NA
2011,"Birmingham","Policestation","Policestation",NA
2011,"Birmingham","Policestationstechford","Policestationstechford",NA
2011,"Birmingham","Poplarroad","Poplarroad",NA
2011,"Birmingham","Poplarroad","Poplarroad",NA
2011,"Birmingham","Poplarroadsolihull","Poplarroadsolihull",NA
2011,"Birmingham","Poplarroadsolihull","Poplarroadsolihull",NA
2011,"Birmingham","Prestonroad","Prestonroad",NA
2011,"Birmingham","Prioryroadhallgreen","Prioryroadhallgreen",NA
2011,"Birmingham","Prospectroad","Prospectroad",NA
2011,"Birmingham","Queenswoodroad","Queenswoodroad",NA
2011,"Birmingham","Rearofbootshighstr.","Rearofbootshighstr.",NA
2011,"Birmingham","Reddingslanetsyley","Reddingslanetsyley",NA
2011,"Birmingham","Richmondprimarycarecentrerichmondroadstechford","Richmondprimarycarecentrerichmondroadstechford",NA
2011,"Birmingham","Ringroadstourbridge","Ringroadstourbridge",NA
2011,"Birmingham","Sainsburyswawrickroad","Sainsburyswawrickroad",NA
2011,"Birmingham","Sainsburysalcesterroadsouth","Sainsburysalcesterroadsouth",NA
2011,"Birmingham","Sandfordroadmoseley","Sandfordroadmoseley",NA
2011,"Birmingham","Sareholemill","Sareholemill",NA
2011,"Birmingham","Sedgemereroad","Sedgemereroad",NA
2011,"Birmingham","Shirleyroad","Shirleyroad",NA
2011,"Birmingham","Shirleyroad","Shirleyroad",NA
2011,"Birmingham","Snowhill","Snowhill",NA
2011,"Birmingham","Solihulllane","Solihulllane",NA
2011,"Birmingham","Stmarysroadmoseley","Stmarysroadmoseley",NA
2011,"Birmingham","Stmarysrow","Stmarysrow",NA
2011,"Birmingham","Stationroad","Stationroad",NA
2011,"Birmingham","Stationwaybirminghaminternationalrailstation","Stationwaybirminghaminternationalrailstation",NA
2011,"Birmingham","Stechfordfrontoffice","Stechfordfrontoffice",NA
2011,"Birmingham","Stechfordps","Stechfordps",NA
2011,"Birmingham","Stechfordretailpark","Stechfordretailpark",NA
2011,"Birmingham","Stonehengecroftdruidsheath","Stonehengecroftdruidsheath",NA
2011,"Birmingham","Stoneylane","Stoneylane",NA
2011,"Birmingham","Stoneylane","Stoneylane",NA
2011,"Birmingham","Stoneylane","Stoneylane",NA
2011,"Birmingham","Stratfordheathsparkhillbirmingham","Stratfordheathsparkhillbirmingham",NA
2011,"Birmingham","Stratfordroad","Stratfordroad",NA
2011,"Birmingham","Stratfordroad","Stratfordroad",NA
2011,"Birmingham","Stratfordroad","Stratfordroad",NA
2011,"Birmingham","Stratfordroadhallgreen","Stratfordroadhallgreen",NA
2011,"Birmingham","Stratfordroads","Stratfordroads",NA
2011,"Birmingham","Stuartroadstechford","Stuartroadstechford",NA
2011,"Birmingham","Talbortstr.","Talbortstr.",NA
2011,"Birmingham","Tauntonroad","Tauntonroad",NA
2011,"Birmingham","Tavistockroad","Tavistockroad",NA
2011,"Birmingham","Theave.","Theave.",NA
2011,"Birmingham","Thepaertreepub","Thepaertreepub",NA
2011,"Birmingham","Trafalgerroad","Trafalgerroad",NA
2011,"Birmingham","Wakegreenroad","Wakegreenroad",NA
2011,"Birmingham","Wardendroad","Wardendroad",NA
2011,"Birmingham","Warwickroad","Warwickroad",NA
2011,"Birmingham","Warwickroad","Warwickroad",NA
2011,"Birmingham","Warwickroad","Warwickroad",NA
2011,"Birmingham","Warwickroad","Warwickroad",NA
2011,"Birmingham","Warwickroad","Warwickroad",NA
2011,"Birmingham","Warwickroadtysley","Warwickroadtysley",NA
2011,"Birmingham","Washlane","Washlane",NA
2011,"Birmingham","Washfordheathroad","Washfordheathroad",NA
2011,"Birmingham","Washwoodheathpub","Washwoodheathpub",NA
2011,"Birmingham","Washwoodheathrdwashwoodheathbham","Washwoodheathrdwashwoodheathbham",NA
2011,"Birmingham","Washwoodheathroad","Washwoodheathroad",NA
2011,"Birmingham","Washwoodheathroad","Washwoodheathroad",NA
2011,"Birmingham","Washwoodheathroad","Washwoodheathroad",NA
2011,"Birmingham","Washwoodheathroad","Washwoodheathroad",NA
2011,"Birmingham","Waterylanemiddlewaybirmingham","Waterylanemiddlewaybirmingham",NA
2011,"Birmingham","Wawrickroad","Wawrickroad",NA
2011,"Birmingham","Welshfarmroadquinton","Welshfarmroadquinton",NA
2011,"Birmingham","Westleyroad","Westleyroad",NA
2011,"Birmingham","Westleyroadacocksgreen","Westleyroadacocksgreen",NA
2011,"Birmingham","Whitehartpublichouse","Whitehartpublichouse",NA
2011,"Birmingham","Whitehartpublichouse","Whitehartpublichouse",NA
2011,"Birmingham","Whiteheartpubgresselllane","Whiteheartpubgresselllane",NA
2011,"Birmingham","Williamhillbookmakerswashwoodheathroad","Williamhillbookmakerswashwoodheathroad",NA
2011,"Birmingham","Williamhillbookmakerswashwoodheathroad","Williamhillbookmakerswashwoodheathroad",NA
2011,"Birmingham","Williamhillwashwoodheathroad","Williamhillwashwoodheathroad",NA
2011,"Birmingham","Windwardroad","Windwardroad",NA
2011,"Birmingham","Windwardroad","Windwardroad",NA
2011,"Birmingham","Woodendroaderdington","Woodendroaderdington",NA
2011,"Birmingham","Woodbridgeroadmoseley","Woodbridgeroadmoseley",NA
2011,"Birmingham","Wrightstr.","Wrightstr.",NA
2011,"Birmingham","Yardleygreenroad","Yardleygreenroad",NA
2011,"Birmingham","Yardleyroadacocksgreen","Yardleyroadacocksgreen",NA
2011,"Birmingham","Yardleywoodroad","Yardleywoodroad",NA
2011,"Birmingham","Yardleywoodroad","Yardleywoodroad",NA
2011,"Birmingham","Yewtreecarpark","Yewtreecarpark",NA
2011,"Birmingham","Yewtreelane","Yewtreelane",NA
2011,"Birmingham","Yewtreepublichousecarpark","Yewtreepublichousecarpark",NA
2011,"Birmingham","Armadapubsladeroaderdingtonbirmingham","Armadapubsladeroaderdingtonbirmingham",NA
2011,"Birmingham","Armardapubgravellyhill","Armardapubgravellyhill",NA
2011,"Birmingham","Armardapubgravellyhill","Armardapubgravellyhill",NA
2011,"Birmingham","Badgersbankroad","Badgersbankroad",NA
2011,"Birmingham","Baldmoorlakeroaderdingtonbirmingham","Baldmoorlakeroaderdingtonbirmingham",NA
2011,"Birmingham","Bandywoodrdkingstanding","Bandywoodrdkingstanding",NA
2011,"Birmingham","Beckenhamroad","Beckenhamroad",NA
2011,"Birmingham","Beecheswalk","Beecheswalk",NA
2011,"Birmingham","Birminghamrd","Birminghamrd",NA
2011,"Birmingham","Birminghamrd","Birminghamrd",NA
2011,"Birmingham","Birminghamrdsc","Birminghamrdsc",NA
2011,"Birmingham","Birminghamroad","Birminghamroad",NA
2011,"Birmingham","Birminghamroad","Birminghamroad",NA
2011,"Birmingham","Birminghamroadsutton","Birminghamroadsutton",NA
2011,"Birmingham","Birminghamroaderdington","Birminghamroaderdington",NA
2011,"Birmingham","Birminghamroadsuttoncoldfield","Birminghamroadsuttoncoldfield",NA
2011,"Birmingham","Birminghamroadsuttoncoldfield","Birminghamroadsuttoncoldfield",NA
2011,"Birmingham","Bowlinggreenclose","Bowlinggreenclose",NA
2011,"Birmingham","Bracebridgeroaderdington","Bracebridgeroaderdington",NA
2011,"Birmingham","Brassingtonave.","Brassingtonave.",NA
2011,"Birmingham","Bromfordlane","Bromfordlane",NA
2011,"Birmingham","Bromfordlaneerdingtonbham","Bromfordlaneerdingtonbham",NA
2011,"Birmingham","Brookvaleparkroad","Brookvaleparkroad",NA
2011,"Birmingham","Carhamptonroadfalconlodgesuttoncolfield","Carhamptonroadfalconlodgesuttoncolfield",NA
2011,"Birmingham","Carshaltonroad","Carshaltonroad",NA
2011,"Birmingham","Carshorltonroad","Carshorltonroad",NA
2011,"Birmingham","Chesterrd","Chesterrd",NA
2011,"Birmingham","Chesterroad","Chesterroad",NA
2011,"Birmingham","Chesterroadhallsgardencentre","Chesterroadhallsgardencentre",NA
2011,"Birmingham","Churchrdatchesterrd","Churchrdatchesterrd",NA
